cohort_month,cohort_size,month_number,retained,retention_rate
2010-07-01 00:00:00,161,17,9,5.6
2010-08-01 00:00:00,142,0,142,100.0
2010-08-01 00:00:00,142,1,26,18.3
2010-08-01 00:00:00,142,2,36,25.4
2010-08-01 00:00:00,142,3,35,24.6
2010-08-01 00:00:00,142,4,23,16.2
2010-08-01 00:00:00,142,5,10,7.0
2010-08-01 00:00:00,142,6,17,12.0
2010-08-01 00:00:00,142,7,13,9.2
2010-08-01 00:00:00,142,8,18,12.7
2010-08-01 00:00:00,142,9,13,9.2
2010-08-01 00:00:00,142,10,17,12.0
2010-08-01 00:00:00,142,11,12,8.5
2010-08-01 00:00:00,142,12,15,10.6
2010-08-01 00:00:00,142,13,25,17.6
2010-08-01 00:00:00,142,14,24,16.9
2010-08-01 00:00:00,142,15,24,16.9
2010-08-01 00:00:00,142,16,8,5.6
2010-09-01 00:00:00,198,0,198,100.0
2010-09-01 00:00:00,198,1,45,22.7
2010-09-01 00:00:00,198,2,37,18.7
2010-09-01 00:00:00,198,3,17,8.6
2010-09-01 00:00:00,198,4,17,8.6
2010-09-01 00:00:00,198,5,13,6.6
2010-09-01 00:00:00,198,6,24,12.1
2010-09-01 00:00:00,198,7,18,9.1
2010-09-01 00:00:00,198,8,16,8.1
2010-09-01 00:00:00,198,9,16,8.1
2010-09-01 00:00:00,198,10,15,7.6
2010-09-01 00:00:00,198,11,18,9.1
2010-09-01 00:00:00,198,12,33,16.7
2010-09-01 00:00:00,198,13,21,10.6
2010-09-01 00:00:00,198,14,22,11.1
2010-09-01 00:00:00,198,15,8,4.0
2010-10-01 00:00:00,314,0,314,100.0
2010-10-01 00:00:00,314,1,75,23.9
2010-10-01 00:00:00,314,2,49,15.6
2010-10-01 00:00:00,314,3,39,12.4
2010-10-01 00:00:00,314,4,32,10.2
2010-10-01 00:00:00,314,5,27,8.6
2010-10-01 00:00:00,314,6,26,8.3
2010-10-01 00:00:00,314,7,32,10.2
2010-10-01 00:00:00,314,8,30,9.6
2010-10-01 00:00:00,314,9,25,8.0
2010-10-01 00:00:00,314,10,31,9.9
2010-10-01 00:00:00,314,11,32,10.2
2010-10-01 00:00:00,314,12,42,13.4
2010-10-01 00:00:00,314,13,49,15.6
2010-10-01 00:00:00,314,14,20,6.4
2010-11-01 00:00:00,281,0,281,100.0
2010-11-01 00:00:00,281,1,45,16.0
2010-11-01 00:00:00,281,2,22,7.8
2010-11-01 00:00:00,281,3,22,7.8
2010-11-01 00:00:00,281,4,20,7.1
2010-11-01 00:00:00,281,5,21,7.5
2010-11-01 00:00:00,281,6,24,8.5
2010-11-01 00:00:00,281,7,16,5.7
2010-11-01 00:00:00,281,8,15,5.3
2010-11-01 00:00:00,281,9,14,5.0
2010-11-01 00:00:00,281,10,23,8.2
2010-11-01 00:00:00,281,11,32,11.4
2010-11-01 00:00:00,281,12,56,19.9
2010-11-01 00:00:00,281,13,16,5.7
2010-12-01 00:00:00,63,0,63,100.0
2010-12-01 00:00:00,63,1,5,7.9
2010-12-01 00:00:00,63,2,4,6.3
2010-12-01 00:00:00,63,3,4,6.3
2010-12-01 00:00:00,63,4,6,9.5
2010-12-01 00:00:00,63,5,5,7.9
2010-12-01 00:00:00,63,6,2,3.2
2010-12-01 00:00:00,63,7,1,1.6
2010-12-01 00:00:00,63,8,2,3.2
2010-12-01 00:00:00,63,9,1,1.6
2010-12-01 00:00:00,63,10,4,6.3
2010-12-01 00:00:00,63,11,9,14.3
2010-12-01 00:00:00,63,12,2,3.2
2011-01-01 00:00:00,65,0,65,100.0
2011-01-01 00:00:00,65,1,9,13.8
2011-01-01 00:00:00,65,2,10,15.4
2011-01-01 00:00:00,65,3,10,15.4
2011-01-01 00:00:00,65,4,8,12.3
2011-01-01 00:00:00,65,5,4,6.2
2011-01-01 00:00:00,65,6,9,13.8
2011-01-01 00:00:00,65,7,6,9.2
2011-01-01 00:00:00,65,8,6,9.2
2011-01-01 00:00:00,65,9,11,16.9
2011-01-01 00:00:00,65,10,15,23.1
2011-01-01 00:00:00,65,11,2,3.1
2011-02-01 00:00:00,88,0,88,100.0
2011-02-01 00:00:00,88,1,13,14.8
2011-02-01 00:00:00,88,2,11,12.5
2011-02-01 00:00:00,88,3,14,15.9
2011-02-01 00:00:00,88,4,11,12.5
2011-02-01 00:00:00,88,5,10,11.4
2011-02-01 00:00:00,88,6,11,12.5
2011-02-01 00:00:00,88,7,10,11.4
2011-02-01 00:00:00,88,8,6,6.8
2011-02-01 00:00:00,88,9,11,12.5
2011-02-01 00:00:00,88,10,3,3.4
2011-03-01 00:00:00,125,0,125,100.0
2011-03-01 00:00:00,125,1,23,18.4
2011-03-01 00:00:00,125,2,15,12.0
2011-03-01 00:00:00,125,3,19,15.2
2011-03-01 00:00:00,125,4,18,14.4
2011-03-01 00:00:00,125,5,15,12.0
2011-03-01 00:00:00,125,6,12,9.6
2011-03-01 00:00:00,125,7,17,13.6
2011-03-01 00:00:00,125,8,20,16.0
2011-03-01 00:00:00,125,9,6,4.8
2011-04-01 00:00:00,87,0,87,100.0
2011-04-01 00:00:00,87,1,18,20.7
2011-04-01 00:00:00,87,2,16,18.4
2011-04-01 00:00:00,87,3,13,14.9
2011-04-01 00:00:00,87,4,7,8.0
2011-04-01 00:00:00,87,5,18,20.7
2011-04-01 00:00:00,87,6,14,16.1
2011-04-01 00:00:00,87,7,16,18.4
2011-04-01 00:00:00,87,8,6,6.9
2011-05-01 00:00:00,96,0,96,100.0
2011-05-01 00:00:00,96,1,18,18.8
2011-05-01 00:00:00,96,2,12,12.5
2011-05-01 00:00:00,96,3,11,11.5
2011-05-01 00:00:00,96,4,15,15.6
2011-05-01 00:00:00,96,5,11,11.5
2011-05-01 00:00:00,96,6,18,18.8
2011-05-01 00:00:00,96,7,5,5.2
2011-06-01 00:00:00,96,0,96,100.0
2011-06-01 00:00:00,96,1,19,19.8
2011-06-01 00:00:00,96,2,19,19.8
2011-06-01 00:00:00,96,3,20,20.8
2011-06-01 00:00:00,96,4,12,12.5
2011-06-01 00:00:00,96,5,19,19.8
2011-06-01 00:00:00,96,6,6,6.3
2011-07-01 00:00:00,95,0,95,100.0
2011-07-01 00:00:00,95,1,15,15.8
2011-07-01 00:00:00,95,2,24,25.3
2011-07-01 00:00:00,95,3,21,22.1
2011-07-01 00:00:00,95,4,20,21.1
2011-07-01 00:00:00,95,5,10,10.5
2011-08-01 00:00:00,90,0,90,100.0
2011-08-01 00:00:00,90,1,21,23.3
2011-08-01 00:00:00,90,2,20,22.2
2011-08-01 00:00:00,90,3,16,17.8
2011-08-01 00:00:00,90,4,10,11.1
2011-09-01 00:00:00,143,0,143,100.0
2011-09-01 00:00:00,143,1,30,21.0
2011-09-01 00:00:00,143,2,47,32.9
2011-09-01 00:00:00,143,3,18,12.6
2011-10-01 00:00:00,159,0,159,100.0
2011-10-01 00:00:00,159,1,45,28.3
2011-10-01 00:00:00,159,2,20,12.6
2011-11-01 00:00:00,167,0,167,100.0
2011-11-01 00:00:00,167,1,15,9.0
2011-12-01 00:00:00,27,0,27,100.0
