customer_id,last_order_date,days_since_purchase,lifetime_value,total_orders,churn_risk_flag
17675,2011-12-08 18:03:00,5297,4449.40,48,Mid Value At Risk
15738,2011-11-21 08:26:00,5314,4380.30,37,Mid Value At Risk
13093,2011-03-09 12:14:00,5571,4353.58,29,Mid Value At Risk
15413,2010-01-17 11:33:00,5987,4323.63,4,Mid Value At Risk
12709,2011-10-27 17:00:00,5339,4278.41,25,Mid Value At Risk
17428,2011-08-21 12:37:00,5406,4200.98,19,Mid Value At Risk
12540,2011-11-20 11:31:00,5315,4198.87,32,Mid Value At Risk
12681,2011-11-25 11:33:00,5310,4136.39,45,Mid Value At Risk
18251,2010-08-20 12:28:00,5772,4110.71,5,Mid Value At Risk
14606,2011-12-08 19:28:00,5297,4104.57,184,Mid Value At Risk
15939,2011-09-11 11:30:00,5385,4060.23,14,Mid Value At Risk
15808,2011-02-06 14:33:00,5602,3943.54,21,Mid Value At Risk
16019,2011-07-26 14:03:00,5432,3928.24,21,Mid Value At Risk
15497,2011-11-22 11:51:00,5313,3925.88,8,Mid Value At Risk
14527,2011-12-07 12:19:00,5298,3855.76,110,Mid Value At Risk
12757,2011-11-24 12:30:00,5311,3853.15,9,Mid Value At Risk
15482,2011-11-24 10:46:00,5311,3833.35,18,Mid Value At Risk
14667,2011-11-29 11:30:00,5306,3765.18,51,Mid Value At Risk
12737,2010-07-29 12:29:00,5794,3710.50,2,Mid Value At Risk
17377,2011-11-16 11:17:00,5319,3686.33,73,Mid Value At Risk
13687,2010-09-27 16:30:00,5734,3656.64,1,Mid Value At Risk
15581,2011-08-11 09:38:00,5416,3650.45,31,Mid Value At Risk
12731,2011-10-19 13:49:00,5347,3620.70,9,Mid Value At Risk
13001,2011-12-05 14:51:00,5300,3544.66,30,Mid Value At Risk
13225,2011-10-10 14:06:00,5356,3533.82,11,Mid Value At Risk
15218,2011-11-29 11:48:00,5306,3508.01,20,Mid Value At Risk
15270,2011-11-24 09:24:00,5311,3476.40,16,Mid Value At Risk
15615,2011-11-29 14:42:00,5306,3461.51,30,Mid Value At Risk
12477,2011-11-17 09:51:00,5318,3366.05,8,Mid Value At Risk
13831,2011-11-23 15:41:00,5312,3357.79,17,Mid Value At Risk
12380,2011-11-18 11:27:00,5317,3352.95,11,Mid Value At Risk
17404,2011-10-14 11:44:00,5352,3332.36,10,Mid Value At Risk
15498,2011-12-07 12:48:00,5298,3321.08,31,Mid Value At Risk
15369,2010-07-12 15:20:00,5811,3304.24,9,Mid Value At Risk
15854,2011-12-05 13:37:00,5300,3133.56,19,Mid Value At Risk
15480,2011-08-15 14:32:00,5412,3072.56,5,Mid Value At Risk
18172,2011-11-25 11:12:00,5310,3062.40,20,Mid Value At Risk
13564,2011-07-18 14:33:00,5440,3052.64,30,Mid Value At Risk
13668,2011-12-07 12:11:00,5298,2962.43,27,Mid Value At Risk
12714,2011-11-30 15:43:00,5305,2952.60,12,Mid Value At Risk
12917,2011-08-03 16:42:00,5424,2867.60,5,Mid Value At Risk
15768,2011-04-28 09:20:00,5521,2849.86,31,Mid Value At Risk
17865,2011-11-09 12:08:00,5326,2843.09,23,Mid Value At Risk
12621,2011-12-08 11:25:00,5297,2830.76,32,Mid Value At Risk
12428,2011-11-14 08:22:00,5321,2810.56,9,Mid Value At Risk
12600,2011-11-11 10:29:00,5324,2802.85,21,Mid Value At Risk
12510,2011-07-20 10:15:00,5438,2743.79,8,Mid Value At Risk
17338,2011-11-22 14:23:00,5313,2633.93,17,Mid Value At Risk
12476,2011-11-24 12:40:00,5311,2625.49,21,Mid Value At Risk
15078,2011-12-02 15:40:00,5303,2617.49,39,Mid Value At Risk
12668,2011-11-28 10:56:00,5307,2585.41,10,Mid Value At Risk
14525,2011-11-20 11:37:00,5315,2558.56,17,Mid Value At Risk
13881,2011-10-04 09:26:00,5362,2540.28,10,Mid Value At Risk
14292,2011-12-02 11:49:00,5303,2536.80,7,Mid Value At Risk
12357,2011-11-06 16:07:00,5329,2517.42,3,Mid Value At Risk
14134,2010-11-22 08:09:00,5678,2502.35,11,Mid Value At Risk
16986,2011-11-10 11:55:00,5325,2500.90,11,Mid Value At Risk
12643,2011-08-03 12:56:00,5424,2492.50,11,Mid Value At Risk
15044,2011-11-20 13:20:00,5315,2481.23,30,Mid Value At Risk
15159,2011-12-05 14:26:00,5300,2445.40,21,Mid Value At Risk
13162,2011-08-09 15:59:00,5418,2434.35,14,Mid Value At Risk
13097,2011-11-07 10:43:00,5328,2432.02,25,Mid Value At Risk
18229,2011-07-24 13:13:00,5434,2409.50,12,Mid Value At Risk
16180,2011-08-31 16:28:00,5396,2379.80,10,Mid Value At Risk
16839,2011-12-01 09:02:00,5304,2379.10,17,Mid Value At Risk
12472,2011-11-07 14:01:00,5328,2372.85,19,Mid Value At Risk
12358,2011-12-08 10:26:00,5297,2363.60,4,Mid Value At Risk
16985,2011-11-22 13:33:00,5313,2347.40,14,Mid Value At Risk
18225,2011-11-18 13:16:00,5317,2337.47,21,Mid Value At Risk
14040,2011-10-30 12:42:00,5336,2329.38,27,Mid Value At Risk
18226,2011-10-26 13:36:00,5340,2326.47,24,Mid Value At Risk
17754,2011-12-09 11:20:00,5296,2326.14,12,Mid Value At Risk
17364,2011-12-09 08:59:00,5296,2304.43,22,Mid Value At Risk
18052,2010-05-24 11:11:00,5860,2298.00,1,Mid Value At Risk
15903,2011-11-30 08:08:00,5305,2239.68,7,Mid Value At Risk
12567,2011-11-17 11:02:00,5318,2209.00,13,Mid Value At Risk
15640,2011-12-05 14:35:00,5300,2195.64,22,Mid Value At Risk
15005,2011-11-24 12:25:00,5311,2193.28,53,Mid Value At Risk
17107,2011-11-06 14:08:00,5329,2192.52,9,Mid Value At Risk
12712,2011-11-11 08:19:00,5324,2183.65,21,Mid Value At Risk
14505,2011-11-22 15:45:00,5313,2152.29,19,Mid Value At Risk
12683,2011-12-05 16:31:00,5300,2077.68,20,Mid Value At Risk
14091,2010-02-23 15:17:00,5950,2073.00,2,Mid Value At Risk
17083,2011-08-22 15:43:00,5405,2067.50,8,Mid Value At Risk
17700,2011-11-23 11:51:00,5312,2063.51,13,Mid Value At Risk
17846,2011-09-15 15:20:00,5381,2033.10,1,Mid Value At Risk
12409,2011-09-22 10:38:00,5374,2024.60,4,Mid Value At Risk
14844,2011-10-07 10:41:00,5359,2017.76,9,Mid Value At Risk
15380,2011-10-24 10:30:00,5342,2009.20,9,Mid Value At Risk
17706,2011-12-05 13:34:00,5300,2006.07,20,Mid Value At Risk
13468,2011-12-02 12:07:00,5303,1996.31,55,Mid Value At Risk
17230,2011-02-02 12:03:00,5606,1980.92,13,Mid Value At Risk
15194,2011-12-06 15:10:00,5299,1958.93,25,Mid Value At Risk
17809,2010-12-03 12:43:00,5667,1942.20,4,Mid Value At Risk
17581,2011-12-09 12:19:00,5296,1930.47,19,Mid Value At Risk
18055,2011-12-02 14:25:00,5303,1928.52,11,Mid Value At Risk
17940,2011-04-08 14:27:00,5541,1917.21,2,Mid Value At Risk
15547,2011-12-02 12:52:00,5303,1913.05,24,Mid Value At Risk
18092,2011-12-07 13:14:00,5298,1903.38,12,Mid Value At Risk
12590,2011-05-12 14:52:00,5507,1889.20,2,Mid Value At Risk
16182,2011-08-01 16:41:00,5426,1885.00,7,Mid Value At Risk
12422,2011-06-24 13:20:00,5464,1884.07,14,Mid Value At Risk
12971,2011-11-29 17:03:00,5306,1880.61,31,Mid Value At Risk
12356,2011-01-18 09:50:00,5621,1874.47,4,Mid Value At Risk
14160,2010-04-08 14:30:00,5906,1871.86,6,Mid Value At Risk
16458,2011-12-07 09:34:00,5298,1870.93,30,Mid Value At Risk
13520,2011-10-12 10:20:00,5354,1867.39,11,Mid Value At Risk
12437,2011-12-08 11:35:00,5297,1857.57,36,Mid Value At Risk
16456,2011-09-01 13:50:00,5395,1852.31,12,Mid Value At Risk
15812,2011-08-24 14:19:00,5403,1848.05,12,Mid Value At Risk
12747,2011-12-07 14:34:00,5298,1839.72,23,Mid Value At Risk
12432,2011-10-28 11:40:00,5338,1817.20,3,Mid Value At Risk
16742,2011-10-24 12:02:00,5342,1815.11,13,Mid Value At Risk
15544,2011-11-30 16:43:00,5305,1800.68,20,Mid Value At Risk
16749,2010-04-27 13:06:00,5887,1800.24,2,Mid Value At Risk
12481,2011-11-17 08:29:00,5318,1796.55,13,Mid Value At Risk
14543,2011-09-27 10:26:00,5369,1785.95,24,Mid Value At Risk
14952,2011-10-11 10:33:00,5355,1777.21,16,Mid Value At Risk
17152,2011-05-29 12:19:00,5490,1759.10,4,Mid Value At Risk
14866,2011-10-11 14:18:00,5355,1755.25,10,Mid Value At Risk
12727,2011-11-29 11:46:00,5306,1749.88,10,Mid Value At Risk
12482,2010-04-21 10:34:00,5893,1749.68,2,Mid Value At Risk
16327,2011-11-25 13:23:00,5310,1743.51,15,Mid Value At Risk
17416,2011-11-10 12:47:00,5325,1740.73,12,Mid Value At Risk
14465,2011-04-07 12:38:00,5542,1739.00,11,Mid Value At Risk
15358,2011-12-05 09:03:00,5300,1717.11,26,Mid Value At Risk
12484,2011-11-07 11:37:00,5328,1706.62,12,Mid Value At Risk
17029,2011-08-21 11:06:00,5406,1706.00,7,Mid Value At Risk
14440,2011-12-01 15:42:00,5304,1703.25,11,Mid Value At Risk
13050,2011-11-25 09:18:00,5310,1692.63,32,Mid Value At Risk
17448,2010-07-30 14:07:00,5793,1687.83,39,Mid Value At Risk
16168,2011-09-06 11:53:00,5390,1684.20,21,Mid Value At Risk
15601,2011-11-28 15:15:00,5307,1681.34,25,Mid Value At Risk
12589,2011-11-11 10:19:00,5324,1679.00,8,Mid Value At Risk
12949,2011-11-09 11:25:00,5326,1667.47,17,Mid Value At Risk
12524,2011-11-30 15:31:00,5305,1663.68,16,Mid Value At Risk
15719,2011-11-07 12:29:00,5328,1648.19,30,Mid Value At Risk
12843,2011-07-03 12:21:00,5455,1647.75,23,Mid Value At Risk
14709,2011-11-24 15:41:00,5311,1647.50,23,Mid Value At Risk
16133,2011-12-06 11:24:00,5299,1624.85,25,Mid Value At Risk
12490,2011-12-04 16:07:00,5301,1624.60,21,Mid Value At Risk
14548,2011-07-12 12:19:00,5446,1623.00,9,Mid Value At Risk
14282,2011-12-01 12:18:00,5304,1621.92,15,Mid Value At Risk
14110,2011-10-04 09:38:00,5362,1609.75,17,Mid Value At Risk
12705,2011-11-24 13:17:00,5311,1609.43,13,Mid Value At Risk
13206,2010-08-27 13:05:00,5765,1607.15,11,Mid Value At Risk
13576,2011-11-29 15:34:00,5306,1604.67,17,Mid Value At Risk
13952,2011-05-06 09:00:00,5513,1596.37,10,Mid Value At Risk
12473,2011-11-10 13:46:00,5325,1594.15,5,Mid Value At Risk
15513,2011-11-06 14:36:00,5329,1586.20,14,Mid Value At Risk
12417,2011-12-06 14:52:00,5299,1580.31,19,Mid Value At Risk
16746,2011-11-15 12:19:00,5320,1577.82,28,Mid Value At Risk
17857,2011-12-05 13:13:00,5300,1577.50,6,Mid Value At Risk
15805,2011-11-16 16:32:00,5319,1576.87,20,Mid Value At Risk
18087,2011-09-02 15:12:00,5394,1566.24,10,Mid Value At Risk
15555,2011-11-27 16:19:00,5308,1563.08,27,Mid Value At Risk
16984,2011-09-12 13:43:00,5384,1555.60,8,Mid Value At Risk
13004,2011-11-13 11:37:00,5322,1549.97,31,Mid Value At Risk
14194,2011-12-05 10:38:00,5300,1544.64,25,Mid Value At Risk
15953,2011-11-24 15:32:00,5311,1543.50,15,Mid Value At Risk
14566,2011-08-21 11:05:00,5406,1541.00,3,Mid Value At Risk
15722,2011-11-04 11:43:00,5331,1537.48,9,Mid Value At Risk
13599,2011-12-08 16:10:00,5297,1536.27,24,Mid Value At Risk
15023,2011-12-06 17:23:00,5299,1530.03,18,Mid Value At Risk
17716,2011-11-10 15:59:00,5325,1524.80,16,Mid Value At Risk
15125,2011-08-18 17:50:00,5409,1517.20,7,Mid Value At Risk
16067,2010-03-28 15:40:00,5917,1515.60,2,Mid Value At Risk
15291,2011-06-12 11:41:00,5476,1508.57,16,Mid Value At Risk
15867,2011-12-04 13:32:00,5301,1508.27,30,Mid Value At Risk
14802,2010-09-27 16:34:00,5734,1502.98,2,Mid Value At Risk
14733,2011-07-18 12:42:00,5440,1476.23,11,Mid Value At Risk
12583,2011-12-07 08:07:00,5298,1464.00,27,Mid Value At Risk
13562,2011-09-19 10:51:00,5377,1461.45,7,Mid Value At Risk
17802,2011-09-18 14:56:00,5378,1452.05,9,Mid Value At Risk
12451,2011-11-29 08:40:00,5306,1440.87,8,Mid Value At Risk
14649,2011-12-05 12:30:00,5300,1432.08,9,Mid Value At Risk
18287,2011-10-12 10:23:00,5354,1419.14,5,Mid Value At Risk
17589,2011-10-10 16:58:00,5356,1417.54,14,Mid Value At Risk
13091,2009-12-10 12:44:00,6025,1416.92,2,Mid Value At Risk
18223,2011-10-31 09:48:00,5335,1410.39,20,Mid Value At Risk
12371,2011-10-26 10:16:00,5340,1408.45,5,Mid Value At Risk
15077,2010-08-02 11:13:00,5790,1408.08,2,Mid Value At Risk
14415,2011-12-08 14:38:00,5297,1407.80,22,Mid Value At Risk
14016,2011-07-01 11:29:00,5457,1403.42,10,Mid Value At Risk
12474,2011-11-22 14:39:00,5313,1389.51,28,Mid Value At Risk
12431,2011-10-10 14:49:00,5356,1382.42,17,Mid Value At Risk
13327,2011-11-01 10:21:00,5334,1379.46,17,Mid Value At Risk
12669,2011-07-12 09:54:00,5446,1377.50,3,Mid Value At Risk
16843,2011-10-05 15:35:00,5361,1372.86,14,Mid Value At Risk
15521,2011-05-11 12:59:00,5508,1369.90,12,Mid Value At Risk
17238,2011-12-07 11:35:00,5298,1368.15,28,Mid Value At Risk
17457,2011-08-05 12:48:00,5422,1367.63,10,Mid Value At Risk
14477,2011-11-20 11:11:00,5315,1362.00,6,Mid Value At Risk
13141,2011-09-16 09:54:00,5380,1360.96,13,Mid Value At Risk
17669,2011-09-15 13:43:00,5381,1358.25,7,Mid Value At Risk
12753,2011-07-27 09:32:00,5431,1348.50,4,Mid Value At Risk
14796,2011-12-08 15:31:00,5297,1340.73,27,Mid Value At Risk
15299,2011-06-28 17:01:00,5460,1331.52,2,Mid Value At Risk
16210,2011-11-30 10:54:00,5305,1330.76,15,Mid Value At Risk
17593,2011-12-06 10:30:00,5299,1329.10,11,Mid Value At Risk
17068,2011-10-21 12:05:00,5345,1329.05,40,Mid Value At Risk
18065,2011-12-04 10:29:00,5301,1328.90,17,Mid Value At Risk
17685,2011-11-23 11:36:00,5312,1319.60,10,Mid Value At Risk
13174,2011-11-23 14:35:00,5312,1317.61,12,Mid Value At Risk
13815,2011-11-16 13:54:00,5319,1314.08,7,Mid Value At Risk
16191,2011-10-19 09:00:00,5347,1311.57,9,Mid Value At Risk
14422,2011-12-09 11:26:00,5296,1289.68,16,Mid Value At Risk
14085,2011-12-02 14:02:00,5303,1287.54,22,Mid Value At Risk
18064,2010-09-19 15:37:00,5742,1280.94,5,Mid Value At Risk
12569,2011-12-07 16:24:00,5298,1272.95,31,Mid Value At Risk
12766,2011-12-06 08:46:00,5299,1272.03,8,Mid Value At Risk
16558,2011-12-09 10:20:00,5296,1267.62,29,Mid Value At Risk
13458,2011-12-02 15:29:00,5303,1259.71,13,Mid Value At Risk
12752,2011-09-19 13:32:00,5377,1259.00,1,Mid Value At Risk
15874,2011-10-07 12:31:00,5359,1258.51,11,Mid Value At Risk
16735,2011-09-02 10:20:00,5394,1256.87,11,Mid Value At Risk
13266,2011-11-28 14:39:00,5307,1251.43,17,Mid Value At Risk
16131,2011-10-19 11:53:00,5347,1249.56,7,Mid Value At Risk
17138,2011-03-09 11:54:00,5571,1242.88,7,Mid Value At Risk
17625,2011-11-21 13:36:00,5314,1242.09,8,Mid Value At Risk
14936,2011-11-06 10:29:00,5329,1239.20,9,Mid Value At Risk
13178,2011-11-04 09:24:00,5331,1237.42,19,Mid Value At Risk
12720,2011-12-07 08:03:00,5298,1229.42,21,Mid Value At Risk
13982,2011-10-31 16:24:00,5335,1226.24,9,Mid Value At Risk
15971,2011-11-22 12:50:00,5313,1219.93,11,Mid Value At Risk
16782,2011-11-22 09:53:00,5313,1215.02,34,Mid Value At Risk
16103,2011-09-21 11:55:00,5375,1214.57,17,Mid Value At Risk
17231,2011-11-27 15:18:00,5308,1210.75,23,Mid Value At Risk
15382,2011-09-16 09:27:00,5380,1209.50,6,Mid Value At Risk
15527,2011-11-21 12:17:00,5314,1205.36,16,Mid Value At Risk
12553,2011-12-01 16:38:00,5304,1199.22,12,Mid Value At Risk
18061,2011-04-08 07:49:00,5541,1197.60,14,Mid Value At Risk
17340,2011-11-10 10:45:00,5325,1196.52,11,Mid Value At Risk
18009,2011-04-18 13:36:00,5531,1196.39,8,Mid Value At Risk
17213,2011-10-30 14:53:00,5336,1194.48,13,Mid Value At Risk
13334,2011-09-18 15:21:00,5378,1193.88,5,Mid Value At Risk
13758,2011-11-01 09:56:00,5334,1190.78,10,Mid Value At Risk
14482,2011-11-21 13:14:00,5314,1187.31,10,Mid Value At Risk
16549,2011-11-29 15:06:00,5306,1184.55,34,Mid Value At Risk
15674,2011-09-27 15:17:00,5369,1184.31,13,Mid Value At Risk
14688,2011-12-02 12:24:00,5303,1183.37,19,Mid Value At Risk
13098,2011-11-10 18:46:00,5325,1178.20,9,Mid Value At Risk
13505,2011-09-28 11:56:00,5368,1168.63,4,Mid Value At Risk
12483,2011-11-22 17:02:00,5313,1168.04,16,Mid Value At Risk
12433,2011-12-09 08:48:00,5296,1165.27,6,Mid Value At Risk
14159,2011-11-20 12:36:00,5315,1163.59,20,Mid Value At Risk
14461,2011-06-14 13:15:00,5474,1161.38,11,Mid Value At Risk
17372,2011-10-30 11:37:00,5336,1155.14,24,Mid Value At Risk
16550,2011-08-23 11:12:00,5404,1154.54,14,Mid Value At Risk
13634,2011-11-06 13:40:00,5329,1153.91,15,Mid Value At Risk
12782,2011-12-05 09:16:00,5300,1152.80,10,Mid Value At Risk
15281,2011-10-12 09:10:00,5354,1148.71,11,Mid Value At Risk
14308,2010-06-08 16:48:00,5845,1147.02,2,Mid Value At Risk
18041,2011-11-28 11:39:00,5307,1146.29,29,Mid Value At Risk
16945,2011-11-18 11:39:00,5317,1144.45,21,Mid Value At Risk
12352,2011-11-03 14:37:00,5332,1144.20,7,Mid Value At Risk
17640,2011-09-14 09:13:00,5382,1142.66,6,Mid Value At Risk
12455,2011-09-27 15:31:00,5369,1133.71,10,Mid Value At Risk
17139,2011-10-06 16:47:00,5360,1129.65,14,Mid Value At Risk
17965,2011-11-02 09:31:00,5333,1128.89,20,Mid Value At Risk
15370,2011-10-30 10:58:00,5336,1126.79,7,Mid Value At Risk
12503,2010-05-04 13:59:00,5880,1126.00,1,Mid Value At Risk
13783,2010-05-19 10:11:00,5865,1125.24,3,Mid Value At Risk
14987,2011-11-24 09:59:00,5311,1122.00,7,Mid Value At Risk
13534,2011-12-07 14:52:00,5298,1119.60,23,Mid Value At Risk
16771,2011-11-06 13:28:00,5329,1119.17,10,Mid Value At Risk
16187,2011-10-19 09:59:00,5347,1117.66,12,Mid Value At Risk
17924,2011-10-03 10:08:00,5363,1116.00,4,Mid Value At Risk
16523,2011-12-08 09:06:00,5297,1115.03,18,Mid Value At Risk
13319,2011-11-22 16:39:00,5313,1113.10,20,Mid Value At Risk
14099,2011-11-23 13:53:00,5312,1111.80,19,Mid Value At Risk
12349,2011-11-21 09:51:00,5314,1109.63,4,Mid Value At Risk
17611,2011-10-28 14:38:00,5338,1107.72,22,Mid Value At Risk
15485,2011-11-09 14:31:00,5326,1107.30,5,Mid Value At Risk
13590,2011-10-19 12:16:00,5347,1103.94,16,Mid Value At Risk
15898,2011-12-08 15:23:00,5297,1101.33,20,Mid Value At Risk
16008,2011-11-16 10:32:00,5319,1101.25,15,Mid Value At Risk
14401,2011-11-01 13:37:00,5334,1098.68,19,Mid Value At Risk
16265,2011-11-30 16:41:00,5305,1093.17,11,Mid Value At Risk
16940,2011-10-18 13:15:00,5348,1089.64,8,Mid Value At Risk
15332,2010-12-05 12:01:00,5665,1081.80,4,Mid Value At Risk
15546,2010-04-12 11:51:00,5902,1079.10,2,Mid Value At Risk
12444,2011-11-18 13:23:00,5317,1078.76,5,Mid Value At Risk
16717,2011-11-16 12:16:00,5319,1078.25,11,Mid Value At Risk
16563,2011-10-17 11:51:00,5349,1077.02,6,Mid Value At Risk
17242,2011-08-23 14:55:00,5404,1075.80,5,Mid Value At Risk
16409,2011-11-03 16:45:00,5332,1075.26,12,Mid Value At Risk
14887,2011-09-21 15:32:00,5375,1074.00,1,Mid Value At Risk
13148,2011-11-10 15:23:00,5325,1071.32,22,Mid Value At Risk
17616,2011-06-19 10:11:00,5469,1060.80,4,Mid Value At Risk
13013,2011-12-08 15:01:00,5297,1060.59,14,Mid Value At Risk
16036,2011-09-13 14:53:00,5383,1059.87,4,Mid Value At Risk
12480,2011-11-11 14:52:00,5324,1054.82,7,Mid Value At Risk
14944,2011-09-23 14:38:00,5373,1047.22,13,Mid Value At Risk
17696,2011-11-01 13:43:00,5334,1045.78,19,Mid Value At Risk
14541,2011-10-12 10:08:00,5354,1040.49,12,Mid Value At Risk
13491,2011-10-19 08:32:00,5347,1040.19,26,Mid Value At Risk
15144,2011-11-15 08:32:00,5320,1039.40,11,Mid Value At Risk
16145,2011-12-01 10:33:00,5304,1037.90,17,Mid Value At Risk
16161,2011-11-14 15:10:00,5321,1036.24,30,Mid Value At Risk
12613,2011-10-13 14:59:00,5353,1033.57,9,Mid Value At Risk
15916,2011-11-23 13:46:00,5312,1033.07,12,Mid Value At Risk
12783,2011-12-07 15:56:00,5298,1031.32,6,Mid Value At Risk
12759,2011-10-18 14:49:00,5348,1029.92,8,Mid Value At Risk
13488,2011-10-27 14:05:00,5339,1029.28,15,Mid Value At Risk
13044,2010-08-04 16:27:00,5788,1028.14,9,Mid Value At Risk
14235,2011-07-05 10:57:00,5453,1027.90,6,Mid Value At Risk
13047,2011-11-08 12:06:00,5327,1027.76,13,Mid Value At Risk
17085,2011-08-08 14:15:00,5419,1027.58,23,Mid Value At Risk
14426,2011-11-16 08:25:00,5319,1025.12,11,Mid Value At Risk
17409,2011-04-05 16:42:00,5544,1023.75,8,Mid Value At Risk
15296,2011-10-20 11:47:00,5346,1020.08,9,Mid Value At Risk
13593,2011-08-23 13:35:00,5404,1014.94,12,Mid Value At Risk
